beer,beer_id,beer_pct,beer_style,brewer_country,brewery_city,brewery_id,brewery_name,brewery_state,checkin_comment,checkin_id,created_at,rating,source,user_id,user_name,venue_id
Real Ale,157257,4.0,English Bitter,Australia,Newtown,28042,Young Henrys Brewing Company,N.S.W.,,102329219,"Sat, 26 Jul 2014 07:01:43 +0000",3.0,Untappd for Android - (V2),503456,Liam,1055467
Real Ale,157257,4.0,English Bitter,Australia,Newtown,28042,Young Henrys Brewing Company,N.S.W.,,102328029,"Sat, 26 Jul 2014 06:48:22 +0000",3.0,Untappd for Android - (V2),704217,ammo,1055467
Real Ale,157257,4.0,English Bitter,Australia,Newtown,28042,Young Henrys Brewing Company,N.S.W.,"Hmm id call it 'quite real'
not much goin on here",100995115,"Sun, 20 Jul 2014 11:26:09 +0000",1.5,Untappd for Android - (V2),1182361,Claytron,1055467
Wayfarer Wheat,289477,4.9,Hefeweizen,Australia,Teneriffe,50497,Green Beacon Brewing Company,Qld.,,100285210,"Fri, 18 Jul 2014 10:52:45 +0000",4.0,Untappd for Android - (V2),1000032,Steven,1055467
Real Ale,157257,4.0,English Bitter,Australia,Newtown,28042,Young Henrys Brewing Company,N.S.W.,Nice,98975832,"Sat, 12 Jul 2014 11:10:29 +0000",3.0,Untappd for Android - (V2),348136,Jack,1055467
Pocahontas,400942,5.6,American IPA,Australia,Banyo,71408,All Inn Brewing Co.,Qld.,,98493446,"Thu, 10 Jul 2014 12:05:37 +0000",3.5,Untappd for Android - (V2),1177989,craftworkamber,1055467
Real Ale,157257,4.0,English Bitter,Australia,Newtown,28042,Young Henrys Brewing Company,N.S.W.,,98493416,"Thu, 10 Jul 2014 12:03:53 +0000",2.5,Untappd for Android - (V2),1177989,craftworkamber,1055467
Real Ale,157257,4.0,English Bitter,Australia,Newtown,28042,Young Henrys Brewing Company,N.S.W.,"Not bad, standard.",96792320,"Thu, 03 Jul 2014 09:26:42 +0000",3.5,Untappd for iPhone - (V2),472687,Dan,1055467
Cross Knot Kolsch,289600,4.4,Kölsch,Australia,Teneriffe,50497,Green Beacon Brewing Company,Qld.,I'm a kolsch fan I've discovered and this is great. Stronger flavours to others I've tried but not in a bad way.,96791070,"Thu, 03 Jul 2014 08:11:33 +0000",4.0,Untappd for iPhone - (V2),472687,Dan,1055467
Real Ale,157257,4.0,English Bitter,Australia,Newtown,28042,Young Henrys Brewing Company,N.S.W.,Solid bitter with an amber colour...,95716953,"Sat, 28 Jun 2014 10:51:14 +0000",3.5,Untappd for Android - (V2),1025377,Scott,1055467
Real Ale,157257,4.0,English Bitter,Australia,Newtown,28042,Young Henrys Brewing Company,N.S.W.,,94175017,"Sat, 21 Jun 2014 10:51:09 +0000",4.0,Untappd for Android - (V2),915571,Flora,1055467
Cross Knot Kolsch,289600,4.4,Kölsch,Australia,Teneriffe,50497,Green Beacon Brewing Company,Qld.,,94172166,"Sat, 21 Jun 2014 09:01:13 +0000",3.5,Untappd for iPhone - (V2),1302035,Christopher,1055467
Penny Porter,289599,5.3,Porter,Australia,Teneriffe,50497,Green Beacon Brewing Company,Qld.,Nice little porter. Takes me back to the good ol' school days.,86660367,"Sun, 18 May 2014 00:20:39 +0000",4.0,Untappd for Android - (V2),851516,Ben,1055467
Penny Porter,289599,5.3,Porter,Australia,Teneriffe,50497,Green Beacon Brewing Company,Qld.,"Like a coffee, lovely after dinner, quite heavy though...",84957959,"Sat, 10 May 2014 12:22:30 +0000",4.0,Untappd for Android - (V2),1271662,Lauren,1055467
Pocahontas,400942,5.6,American IPA,Australia,Banyo,71408,All Inn Brewing Co.,Qld.,Nice drop. Bitter,84690682,"Fri, 09 May 2014 11:11:31 +0000",3.5,Untappd for Android - (V2),851516,Ben,1055467
