category,city,country,lat,lng,name,primary_category,state,street_address,twitter,url,venue_id,venue_name
Cocktail Bar,Brisbane,Australia,-27.4805,153.012,The Bearded Lady,Nightlife Spot,QLD,"138 Boundary Street, West End",,http://thebeardedlady.com.au,1055467,The Bearded Lady
Bar,Fortitude Valley,Australia,-27.4549,153.035,The Mill,Nightlife Spot,QLD,111 Constance St,,,1224163,The Mill
Dive Bar,Milton,Australia,-27.47,153.004,The Scratch,Nightlife Spot,QLD,1 Park Rd.,@thescratchbar,,133016,The Scratch
Bar,Brisbane,Australia,-27.4643,153.012,Brewski,Nightlife Spot,QLD,22 Caxton St,,,1398768,Brewski
Bar,Fortitude Valley,Australia,-27.4605,153.037,Yard Bird Ale House,Nightlife Spot,QLD,6/24 Martin St.,@yardbirdalehous,,152740,Yard Bird Ale House
Bar,South Brisbane,Australia,-27.4804,153.023,Tomahawk Bar,Nightlife Spot,QLD,182 Grey Street,,http://www.tomahawkbar.com.au,1537358,Tomahawk Bar
Bar,Brisbane,Australia,-27.4696,153.024,Super Whatnot,Nightlife Spot,QLD,48 Burnett Ln.,,http://www.superwhatnot.com,158323,Super Whatnot
Brewery,Woolloongabba,Australia,-27.4859,153.029,Brewhouse Brisbane,Food,QLD,601 Stanley St.,@brewhousebris,http://www.brewhouse.com.au,233365,Brewhouse Brisbane
Bar,West End,Australia,-27.4773,153.012,The Burrow,Nightlife Spot,QLD,37 Mollison St,@burrow_westend,http://theburrowwestend.com.au,233403,The Burrow
Bar,West End,Australia,-27.479,153.013,Archive Beer Boutique,Nightlife Spot,QLD,100 Boundary St.,,,28351,Archive Beer Boutique
Bar,Newstead,Australia,-27.4523,153.045,Tippler's Tap,Nightlife Spot,QLD,22 Masters St.,,http://www.tipplerstap.com.au,379847,Tippler's Tap
Bar,Brisbane,Australia,-27.4694,153.028,Embassy Hotel,Nightlife Spot,QLD,214 Elizabeth St.,,,404846,Embassy Hotel
Restaurant,Brisbane,Australia,-27.468,153.031,Riverbar & Kitchen,Food,QLD,71 Eagle St. Pier,,,505474,Riverbar & Kitchen
Beer Garden,Brisbane,Australia,-27.4669,153.03,Pig 'N' Whistle,Nightlife Spot,QLD,Riverside Centre,,http://www.pignwhistle.com.au,61568,Pig 'N' Whistle
Cocktail Bar,Woolloongabba,Australia,-27.4871,153.037,Canvas Cocktail & Wine Bar,Nightlife Spot,QLD,16B Logan Rd.,@canvasbrisbane,http://www.canvasclub.com.au,74299,Canvas Cocktail & Wine Bar
Bar,New Farm,Australia,-27.4649,153.05,Bitter Suite,Nightlife Spot,QLD,75 Welsby St.,,,93720,Bitter Suite
Bar,,Australia,-33.7319,151.301,Collaroy Beach Services Club,Nightlife Spot,,,,,99967,Collaroy Beach Services Club
